s1,s2,s3,s4,s5,s6,내용
#NAME?,"도민이 알기쉽고, 직접 이익되는 사업과 체감을 내기위한 기반이 되는 사업을 구분하여 성과 측정이 필요함",부서장이 공적을 판단하기 때문에 과장된 성과로 포장하지 않음,근평 등으로 일원화 필요,.,"ㅇ 교육훈련훈련-각 개인이 필요한 교육훈련보다는 필수 법정교육훈련 이수, 승진을 위한 교육훈련점수 충족 등 교육훈련을 위한 교육훈련이 너무 많음
ㅇ 임기제 임용제도(개방형 포함)-임기제 임용 필요성에 대한 면밀한 검토 필요
",인사관리제도에 대한 제안 및 건의 의견 없음.
보고를 위한 보고가 직원들의 업무를 가중 시키듯이 정책소통플랫폼만을 위한 일로 직원들의 업무부담을 가중시키지 않도록 플랫폼 설계시 면밀한 검토 필요,정책관리로 인해 업무가 가중되지 않도록 가능하면 심플하게 관리가 되었으면 좋겠습니다. ,소통의 장,겉으로 드러나는 성과를 가지고 근평하는건 맞지않음,"괜히 성과관리, 성과 중심, 이런다고 안 그래도 일 많은데 더 일 많아지게 들쑤시지 말고, 자기 할 일 딱딱 알아서 할 수 있게 해주고, 그에 대한 근평은 간부급 이상에서 외부의견 수렴.통합해서 업무 목표 설정 및 지시 과정에서 업무 방향으로 반영되게끔 하면 되는 것. Simple is the best.","중앙부서 인사인사교류, 인사인사교류 확대하여 승진기회 제공
(ex 철도, 공항, 조선, 도로, 하천, 도시계획분야) ",.
"모여서 토론 위주 보다는 벤치마킹과 교육훈련을 병행 필요, 적극적인 예산 지원 등","실무부서 인력, 예산 대폭확대, 지원부서 대폭 축소, 명확하고 알기쉬운 업무지시와 정책추진 ",..,.,"성과관리 제도 및 새로운 정책 추진을 위해서는 승진과 함께할 수 밖에 없다고 생각합니다.
공무원이라는 직장은 명예도 금전적익 혜택도 아니고 오로지 승진으로 보상을 받습니다.
승진이라는 확실한 인센티브만이 우수한 성과를 도출할 수 있다고 생각합니다.",공정·공평 인사를 기대하는 것이 그 이유입니다.,"근평이나 인사 관련 규정이나 지침을 재 정비할 필요는 있다. 하지만 잘못된 연공서열을 고치기 위해 선의의 피해자가 생기지 않도록 이에 대한 직원들의 의견 수렴이 필요하다. 다수의 사람들이 규정에 오류가 있다면 이에 대해서 인사과에서는 적극적으로 수정해야 한다고 생각한다.

근평이나 인사 관련한 이의신청은 인사과에서 접수해서는 안된다. 이원적으로 운영해야 신청자들의 부담을 조금은 줄일 수 있을 것이라 생각한다."
"직원에 대한 교육훈련이 필요한 것이 아니라 업무유형이 자연스럽게 변화되어가면 가능하지 않을까요
",5번 설문답변내용과 같은 맥락으로 직원들 개인별 관심사 등을 파악하여 정책제언 등 관심 유도,업무 적용에 도움이 되었습니다,개개인의 성과면담이 업무 지시로 연장되는 경우 발생,"현재의 성과관리는 도민을 위한 것이 아니라 보여주기 위한 데이터 축적과 홍보용임
직원들을 힘들게하는 요식행위 임, 폐지을 희망전보함","업무에 대한 직원의 몰입과 헌신은 진정 본인이 하고싶은 일을 하고 성과를 낼때 임. 또한, 본인의 업무를 올바르고 제대로 실행하기 위해서는 지속적인 학습이 필요하다고 생각","무역량자를 규정하려기보다는, 어떻게든 일 안하고, 남에게 일 떠넘기고, 그럼에도 챙길 건 다 챙기려는 그런 사람만 솎아내도 정말 많이 좋아질 것임."
인간관리 및 소통관련 교육훈련,.,"추진중 업무나, 어려운 점 등에 대한 질문을 하시고, 관심가지고 파악하고 계시다고 느껴져 좋았습니다.",단순 시행 자체에만 초점이 맞춰져 요식행위의 느낌임,성과관리의 투명 제고 방안이 추가 되어야 함,"ㅇ 현재 인사시스템은 1차 실국에서 근평하고 그 결과의 객관성 판단을 검증할 수 없는 시스템으로 이루어 지고 있습니다

ㅇ 인사과에서는 실국근평 내용을 그대로 적용하는 불합리한 시스템으로 이루어 지다 보니 소외받는 직원들의 불평 불만은 해결할 수 없는 것 같습니다.

ㅇ 실국장 근평도 중요하지만 객관성 있는 근평이 될 수 있도록 고민을 했음 합니다. 
",현재의 절차와는 완전히 다른 체계로 정책 운영 필요
ㅇ ,"우리 도에서 추진하는 각종 정책이나 행사에 도민들이 주체적으로 참여하여 주인의식을 가질 수 있도록 할 필요가 있다.
도에서 추진하는 행사나 축제에서 도민들의 아이디어를 제공하여 이를 실천하여 직접 참여하는 것으로 도정의 정책에 관심이 집중 될 것이라 생각한다.

또한 언제든지 지방정부의 행정에 참여할 수 있는 도민들의 데이타베이스를 구축하여 즉시 이를 동원할 수 있는 시스템을 구축해야 한다.",개인성과에 대한 객관적인 의견 게진 및 논의 가능,직원 애로사항 청취보다는 실질적인 성과를 낼 수 있도록 성과내용을 구체적이고 명확하게 정해야 함,없습니다.,"- 나이순 근펑, 전보 전보·보직의 특혜, 임기제로 인한 승진인원 감소, 임기제 특정 정책 추진 불가(법, 여건)시 조직유지 불가 ","공무원은 고생한 보람을 승진으로 보답받습니다.
우수한 정책, 특별한 성과, 묵묵히 맡은 업무 충실로 인한 성과에 대하여 특별한 혜택이 있어야 되지 싶습니다.
물론 승진 수 내에서 승진 연공서열로 일부는 승진해야 되겠지만 일부는 위와 같이 특별한 성과를 달성한 직원에게
승진배수 내에서는 승진이라는 혜택이 필요하다고 생각합니다. 물론 직원 대부분이 그런 직원이 승진하는데 동감을 해야된다는 
조건과 장치는 선행이 필요할 것으로 생각됩니다."
공통플랫폼을 구축 할 시 분류를 선택할 필요 없이 자유롭게 참여할 수 있는 인터페이스 필요. 내용에 따른 업무 구분 등은 AI나 관련 단어를 통한 업무 배정,"그 '도민'이 어떤 도민인지? 실제 정책과정에 도민을 참여시킨다면 특정 단체 소속이거나, 어떤 직위나 직함이 있는 사람들, 또는 그런 사람들과 연관이 있는 사람들이 대부분 참여하게 될 텐데, 그 자체로 그런 '도민'들은 일정한 이해관계나 특수관계에 얽혀 있는 사람들일 것. 과연 진정한 '도민'의 의견이나 체감하는 바를 알 수 있을지 의문스러움. 
지금 질문이 전제하고 있는 내용이 이론적으로는 매우 오래 전부터 거론되어 왔지만 실현되지 않았던 이유는, 현실은 대단히 복잡다단하기에, 그렇게 쉽게, 간단하게 도입되기가 어려운 것임.
더군다나 정책의 결과로 누군가 혜택을 볼 수도 있지만 상대적으로 이득을 덜 보게 되거나, 오히려 피해를 보는 사람이 반드시 있게 마련인데, 그런 사람들의 의견도 모두 하나하나 다 들어서 정책을 기획하고 추진할 수 있다고 생각하는지? 
어떤 집단의 혜택이 어떤 집단의 피해를 수반한다면 그 정책의 성과는 도민이 체감하기에 좋은 정책인지 나쁜 정책인지? 둘 사이의 비교.형량은 어떻게 할 것인지? 정량적으로? 정성적으로? 비교형량이나 근평 자체가 불가능할 것으로 보이는데.. 아닙니까? 
기관장이 인맥인인데 그런 정책과정, 정책성과 근평이 가능할 것으로 생각하시는지? ",평소에 과장님과 단 둘이 이야기할 시간이 잘 없으므로 이런부분은 만족함 ,면담에 따른 피드백 필요,"도민을 위한 정책의 방향에 전적으로 동의하나, 일하는 직원을 위한 성과 관리도 고민했으면 함. 도청이 점점 일하고 싶은 조직이 되어야 하는데 힘들면 휴직하고, 이런분위기가 되지 않도록 일하고 싶은 조직을 만드는 고민도 했으면 함","전보전보·전보·보직 제도는 한 부서에 계속근무하는 직원과 전보제한2년2년 중 전보되는 직원의 명확한 사유 공개
승진제도는 인사예고시 명확한 승진인사 방향 공개","제도가 미비해서 불만이 있는것이 아님.
지금의 제도를 제대로 시행하면 문제없음. 그렇지 못하기에 말이 나오는 것임. 추가적인 건의사항 없음"
"도민과의 소통방법과 갈등해소 기법 사전 교육훈련이 필요하고, 민간부문의 전문교육훈련 인사인사교류가 필요함",도민이 체감하는 성과의 기준 설정이 우선되어야 한다고 생각합니다.,공식적으로 나의 성과에 대한 어필이 가능하고 부족한 점을 피드백 할 수 있는 기회라고 생각함,"공무원 개개인의 업무의 특성이 다를 수 밖에 없습니다.
성과가 날 수 밖에 없는 자리가 있는 반면, 묵묵히 자기일을 열심히 해도 성과가 나지 않는 자리가 있습니다.
무조건 성과로만 판단할려면 그런 자리에만 사람이 갈려고 합니다.
성과가 날 수 없는 자리에도 피해가 가지 않는 방법을 고민해야 될꺼같다.
성과로 빠르게 승진하는 자리는 누군가가 가도 가능한 자리인데 특별한 시기에 있다고 해서 성과를 한사람이 받는것은 공정·공평합니다.",업무 난이도에 대한 성과관리의 객관성을 높이는 방안 마련,시군과의 인사인사교류가 단절됨으로 인해 시군의 속사정 등을 파악할 수 있는 창구가 없습니다. 그로인해 도와 시군의 협력사업의 진행이 원활하지 않은 경향이 있습니다. 따라서 원활한 소통을 위해 시군과의 인사인사교류가 확대되었으면 좋겠습니다.  ,없습니다.
"SNS 콘텐츠 제작, 홍보마케팅 기법 등의 교육훈련과 담당별(또는 개인별) 테블릿PC 등 모바일 기기의 지원이 필요하다고 생각됩니다.","정책이 신속하고 효과적으로 실현되려면, 정책결정자의 명확한 의사결정이 있어야 함.
하나의 정책을 계획하고 시행까지 과정이 힘들어 직원들의 의욕이 없음",일단 부서장과 일년에 1:1로 두번이라도 대화를 한다는 것 자체가 대단함 ,직원의 성향과 업무를 부서 전보·전보·보직이 우선되어야 함,사람에 맞는 업무도움,근평의 공정·공평 의문,공정·공평 인사를 위해서 성과 면담을 실시하는 것도 좋고 좋지만 그런 새로운 것을 하기 위해 자료를 만들어야 하는 과 실무자의 어려움도 알아주길
직원들이 공감하고 정말 필요하다고 생각하는 정책 설정 필요,신규 정책 채택시 직급별 근평 자문단을 무기명으로 구성하여 자문실시,종합적으로 나의 업무에 대해 상담이 가능해서 좋았음 ,부서별 의견제시해도 충족되는것은 하나도 없음,없습니다.,"같은 국에서 계속 전보·전보·보직하도록 전보를 하고 있는데, 자기 적성에 맞지 않는 업무의 경우 희망전보전보로 전보해주어야 할 것이며,
근평시에 국 내에서 많은 논의후 순위를 정해 인사과로 넘기지만, 정작 인사과에서는 무슨 기준으로 순위를 정하는지 모르겠음. 공개 할만한 기준을 정해서 투명을 가져야할 것임",기피·격무부서 근무자에 대한 인사상 우대를 확대 시행
"도민이 많이 사용하는 SNS에 대한 사용법, 눈높이 홍보방법 교육훈련","정책결정을 위한 의견수렴(보조기관,보좌진)과정 多難, 이로 인한 공무원의 행정력 낭비 발생 초래와 더불어 적극적인 업무추진을 하려는 공무원도 소극행정으로 이어져 도민이 체감하는 정책 추진발굴을 어렵게 하는 원인중의 하나라고 생각합니다.",.,성과면담을 해도 형식적일 수 밖에 없으며.....조직 구조자체가 성과면담을 할 수 없는 조직구조임... 왜 하는지 모르겠음....,..,#NAME?,역량에 맞는 적소적재적재 전보·전보·보직
플랫폼 관리 전문가 전담전보·전보·보직  ,"도정 전체적으로 인력이 부족하며, 일한 사람은 없는 데, 추가적인 일은 계속 늘어 나도 있음, 지원부서를 가감히 통폐합 하고, 사업부서위주로 인력 충원이 필요함. 기존의 일은 나쁘다는 개념으로 접근할것이 아니라 온고지신의 정신으로 기존것에 가다듬어서 더 좋은 정책으로 나아가는 것이 필요함",개인이 설정한 성과목표에 대하여 부서장과 소통으로 공감대 형성,"성과에 대한 구체성이 필요한데 단순한 정량성과 위주로 성과를 측정하다보니 고객만족에 대한 근평이 어렵고
고객근평을 도입할려고 하면 장시간이 걸리고 많은 비용이 수반되는 문제점이 있음.  이러한 점을 균형있게 보완하여 개선하는 것이 우선되어야 함",없습니다,"전보 및 전보·전보·보직제도
- 한 부서에서 업무 전문성을 위하여 전보제한2년2년 이상 근무하는것도 좋으나,
- 다양한 업무경험을 통해 자신이 흥미를 가질수 있는 업무를 할 수 있도록 전보제한2년2년 축소",본인이 향후 전보에는 전보·보직이 되는 공개한 인사시스템 운영이 필수
"1. 도정 정책에 대하여 한눈에 알 수 있는 자료를 정리 배포 (개인적으로..도정정책이 구체적으로 어떤 것들이 있는지 모르겠습니다)
2. 직원들의 개인적인 관심사(여행, 육아 등)를 파악 및 분류하여 개인별 관심있을 정책들에 대한 관심 및 참여 유도
  (예를들어 자녀가 20대 대학생인 경우 육아에 대한 정책보다는 자녀가 취업을 잘 할수 있도록 청년정책에 더욱 관심이 있을수 있을꺼 같습니다)","예산 수반, 제도 개선, 법 개정 등 선행조건(제약요인) 해결을 위한 외부(전문가, 중앙부처) 컨설팅 활성화 필요",개개인에 대한 부서장의 관심으로 업무애로사항 등 상담 가능하여 좋았음,..,개인 및 부서의 성과관리에 대한 근평 자료를 일정부분 공개하면 좋겠습니다.,.,..
.,도민이 많이 알 수 있도록 홍보 제고,세부적인 면담,요식행위,성과를 달성하면 그에 대한 보상을 받을 수 있는 제도와 문화가 정립되어야 함,"전보, 근평 시기 마다 공정·공평하다는 의견 또는 편견으로 직원 불만-&gt;사기저하-&gt; 공개 필요",그냥 공정히 잘 되었으면 좋겠습니다
수요자 중심 필요 정보 및 홍보 방법,현장의 목소리를 제대로 듣고 반영해야 함,평소 얘기하지 못하는 개선사항에 대한 의견 제시 가능,"성과면담을 해야된다니 형식적으로 시행하지만 
직원 개인의 역량이나 업무량을 명확하게 파악하고 성과관리로 연결되지 못한다고 생각됨",성과관리제도로 틀에짜여 직원에게 부담을 주지 않도록하여 자유롭게 업무 수행이  이루어 질 수 있다면 자연스런 분위기 속에서 좀더 좋은 성과를 창출할 수 있지 않을까 싶습니다. ,인사인사교류 제도에 대한 정보 부족,1
정책수요자 위주의 행정 추진 교육훈련,"단기간의 성과 창출은 거의 없을것으로 판단, 단계적으로 접근하는 방법에 대하여도 성과로 인정해 주는 것",직원의 의견을 들을 수 있음.,성과면담제도의 실효성에 의문이 생깁니다. 성과면담제도를 통해 실제로 직원들이 직업정신을 고취시킬 수 있는 것인지. 혹여 이 제도가 바쁜 직원들에게 또 다른 업무를 만드는 부담이 되는 건 아닐지.,없습니다.,"전보 전보·보직 관리와 근평 평정은 같은 맥락에서 추진된다. 일과 상관없이 그런 자리가 그런 근평을 받을 수 있는 오랜 연공서열은 여전히 유지된다.
근평을 잘 받는 그 자리에 가는 사람들은 매 그 자리에서 그런 근평을 잘 받고 승진을 하는 등 보이지 않는 연결고리가 깨어지지 않으면
이는 의미가 없다고 판단된다.","지원부서 사업부서 필수 교차 인사 발령 실시가 필요합니다.
사업부서에서만 계속 근무하는 사람이 있는 반면, 많은 사람이 선호하는 지원부서에만 계속 근무를 합니다.
"
"직원들이 도정의 정책에 대한 이해도 부족한 상태임
현재 자신의 업무에 국한되어 일을 하지 도정 전체의 정책에 대해서는 관심이 없다.
직원들의 역량이나 지식 함양이 우선되어야 정책소통을 하지 그렇지 않으면 하고 싶어도 할 수 없다.",",,",부서장의 친절하고 격의없는 대화,비정기적(수시) 성과관리 면담 실시,성과관리를 위한 것이 아닌 성과관리 제도를 위해 성과목표를 억지로 지어내야 하는 경우도 허다함. 현실에 부합하는 성과관리 제도 개선 필요,"징징대는 사람은 희망전보전보, 전보·보직으로 이동하고 묵묵히 일하는 사람은 힘들고 근평 못챙기는 부서, 전보·보직으로 가는 현상
그 사람이 일한 결과, 일에 임하는 태도 등에 대한 고려 없이 어떤 자리가 근평 몇 순위, 이렇게 정해서 근평되는데, 그마저도 어떤 사람들은 그 자리에서 해야 될 일을 다 하지 않고 이런저런 핑계 대면서 그 자리의 업무를 다른 부서원에게 넘김. 그런데 근평은 오롯이 다 챙김. 비일비재함.
실무자로 일을 잘 했을지는 몰라도 관리자로서는 정말 별로인데, 앞서 지적한 문제들을 잘 활용해서 그걸 지금까지 일한 성과로 인정받아 그 댓가로 관리자로 승진하는 것은 단단히 잘못된 것. 관리자 승진은 관리자로서의 역량이 있는지를 어느 정도 미리 파악해서 해야 됨. 관리자로의 승진은 보상이 아니라 발탁이어야 함.","근무연공서열, 전보·전보·보직, 본인의 희망전보 등이 종합적으로 고려된 부서전보·전보·보직이 중요하며 각 부서별 직급, 직렬전보·전보·보직도 공정하게 되어야 함"
"장담컨대, 정책소통플랫폼은 의도한 효과는 적게 보고, 행정력 낭비가 압도적으로 클 것임. 행정실무, 민원업무를 본 사람들은 아마 모두 공감할 것.",없습니다,그간의 고충을 말할수 있는 기회,성과 주체가 불분명한 업무,"
작년성과관리근평과 어떻게 달라질지 기대됩니다. 
사실상 지표를 근평하는 건 쉽지만 과제를 근평하는 것이 어떤 방식으로 이루어질지 궁금합니다","전보·전보·보직이 정해져있음(행정국과 사업부서는 인사교류가 안됨)

근평 담당자는 개방형 임기제로 정하는것이 맞다고 봄(아무래도 청탁이 개입된다고 보여짐)","
"
실제 현장 교육훈련,"정책목표수립과 결과근평, 근평반영 모든 과정에서 도민이 참여할 수 있는 참여수단 제공",면담이라는 방식은 면담자가 중요한데.. 지금 상사는 그점에서 매우 적절한 자세를 가지고 있다고 생각합니다. 그말은 리더의 성향에 따라 무의미한 제도가 될 수도 있다는 말이니 개선책을 생각해봐야 할듯 합니다. ,성과면담에 대한 인식 개선(불필요한 절차라고 생각하는 듯함),직원들 성과 달성목표에 자기추진 업무인맥,투명,"외부(인맥,인맥)에 영향받지않고 투명하게 인사조치"
현장중심의 업무처리 교육훈련,0,면담 내용에 상관없이 편안한 면담분위기가 좋았음,성과목표 설정 자체가 불명확,"합리적인 성과시스템을 만들려고 하면 단기간에 하기 어려우며 지금의 성과시스템의 계속적 보완 개선이 필요한 장기 과제라고 보여짐.
 ","현재 근평 공개를 과 단위로 개인에게는 공개하고 있습니다. 범위를 넓혀 국 그리고 도 전체 근무 평정을 공개하면 어떨지요
특별한 이유없이 근평 시 순위가 밀릴수 있고 근평 담당자가 객관적으로 근평했는지 확인이 불가능하다면 근평의 공정·공평을 담보할 수 없으므로 범위를 넓혀 공개함이 타당할 것으로 생각됩니다.  ",승진대상자(5급승진자 이상)에 대한 다면근평을 보다 확대 도입하여 운영할 필요가 있음.   
"고객들의 의견 등을 검토하고 진지하게 고민하는 과정이 필요합니다. 직원들의 의식의 문제라고 생각합니다.
조금더 진취적으로 받아들이려고 하는 노력이 필요합니다.
그래서 감사에 대해 자유로와야 할 것이며, 직원 역량강화도 필요하다고 생각합니다.",정책에 대한 홍보가 부족한 것 같으므로 도민에게 정책을 좀더 잘 알릴 수 있는 방법 모색이 필요함.,현재 우리계에 필요한 부분이 어떤것인지에 대한 소통 및 내용관리,잘 모르겠음 ,..,"균형이 잡히려면 움직이는 직원수에 맞는 검토자 수가 필요함.
기술이 움직이고 행정이 검토하면 안된다는 말임.
직렬별 직원수에 맞는 관리자 수가 필요",..
"직원들의 교육훈련과 지원이 필요한 것이 아니라, 직원들이 적극 참여할 수 있는 환경과 시간이 주어져야함.","소통도 중요하지만 공무원으로 정책을 만든 공무원의 의사도 무시되어서는 안된다고 생각됩니다.
소통 때문에 시기를 놓치는 정책은 필요 없는 정책이 되어버립니다.
과감하게 추진해애 할 정책은 공무원을 믿고 추진할 필요가 있다고 생각됩니다.",.,"담당별 또는 업무적 특성이 인정되지 않고 획일적 기준에 따라 성과면담체계가 설정되고, 업무분장에서도 전문성, 난이도, 중요성 등이 반영되지 않는 불평등 소지가 많음  ",성과는 보통 사무분장과 연결되는데 성과면담제도의 의미가 크게 와닿지 않습니다. 업무고충해결중심의 면담이 필요하다고 생각합니다.,불투명 인사정책 추진,"2개청사와 다양한 사업소를 보유하고 있기 때문에 특히 지역의 이동이 필요한 인사발령의 경우, 희망전보전보 또는 비희망전보 직원을 파악하는 등 직원의 의견을 들어주는 노력이 필요하다고 생각합니다."
플랫폼 운영관리 직원의 업무부담 경감. ,"불필요한 일로 인해 직원들의 피로감이 가중되고 정말 필요한 일을 할 시간이 없음.
(각종 보조자료, 간단한 보고를 위한 보고서 작성, 업무지시에 대한 직원들의 의견이 받아들여지지 않는 등)",#NAME?,직원의 자율과 책임을 높여 성장을 지원하도록 교육훈련 실시,"""열심히 해봤자 결국은 연공서열이다""라는 보편적인 생각을 깰수 있었으면 합니다.",조직 구성원 모두에게 최고의 관심과 자부심이 인사상의 승진 등에 있음 ,"공정·공평 인사, 성과관리 어려운 문제이지만 다수가 만족할 수 있는 정책이 수립되기를 바랍니다."
"나이별, 직급별 개인 역량 특성에 따라 맞춤형 교육훈련 실시","1년동안 정책근평단을 모집하고 연공서열, 그룹별 다양하게 선정하고 임명한 후 책임감을 부여해준 후 활동이 끝나면 인증서를 발급해주고 보상제공(경남사랑 상품권 등) 

",마음의 안정,부서장과 담당자 간의 성과면담의 경우 자칫 지나친 주관성이 개입될 소지가 있으므로 실제 담당자의 성과가 좀 더 객관적으로 보일 수 있도록 외부전문가가 참가하는 성과면담을 시범적으로 운영해보는 게 필요,없음,신규 공무원 업무 역량 강화 교육훈련 필요,없음
직장 구성원들 간 상호 이해 할 수 있는 조직문화 형성 필요,"투명하고 현장중심에 맞게 정책추진, 탁상행정이란 말나오지 않게,
과도한 지시이행으로 업무추진 지난등은 개선해야 될것으로 보임",-,.,없음,"지나친 임기제 채용으로 임기제를 위한 직원이 필요한 실정임, 전문성의 채용은 찬성하나 일반직으로 가능한 것은 일반직으로 업무를 할수 있도록 하는 것이 나음. 임기제 해당 자리에 대한 효과성에 대한 조사 필요",없음
"기존의 일부터 줄여서 직원들이 여유가 있어야 새로운 일을 하는데, 일몰제를 적용하여 기존 일은 줄이고, 새로운 일을 시작해야 함.","도민이 정책근평 과정에 참여하도록 제도적으로 정착(법령, 조례, 규칙에 명시)하여 잘못된 점은 보완 개선하는 행정시스템을 만든다면
도민이 보다 체감하는 도정이 될 것으로 보입니다.   ",미작성,진실되고 실제적으로 구성,0,"중앙부처 인사인사교류와 직속기관 사업소 근무를 동일시 하고, 성별에 대한 차별이 있음",0
정책소통플랫폼이 또다른 업무를 가중해서는 안되고 운영기준이 마련되어야 함,..,부서장과 허심탄회한 대화,"달성해주었으면 하는 성과를 제시해주지만
구체적으로 어떻게 달성해야하는지 할수있는 여건은 제시해주시않음",쥐어짜내는 성과관리 방식의 부적합,승진 최소연수가 지나면 승진을 시켜주는게 사기진작에 도움이 됨,"하위직의 상급자 근평제도 확대시행 건의(서로 근평이 가능해야 상호존중하며 직장 내 괴롭힘, 갑질이 줄어들 수 있을 것 같음)"
서로 소통할 수 있는 정보 제공,"내부직원도 분명 우리 경남도민이라는 생각으로 , 도민체감만을 목표로 기존의 업무량이 많은 내부직원의 업무를 더 과다하게 하지 않도록 점진적으로 추진해야합니다.",현 업무에 대한 성과를 인정하고 격려,성과면담이 직원들과의 경쟁을 부추길수 있음,"공공행정의 성과관리제도는 신중히 도입, 추진되어야 한다. 초창기는 행정서비스 만족도조사에서 출발하여 모든 조직의 비전, 목표, 성과로 이어지는 단계에 이르고 있으나 보여주기식, 결과중심주의에 머물게 되면 조직 및 구성원 피로도만 증가시켜 역효과 발생할 수 있음",본인의 의지와 상관없이 근무하게 되는 부서에서 정확한 성과를 구분하기 힘들고 근평자도 피근평자를 모르는 경우가 많아서 제대로된 근평이라 보기 어려윰,"인사가 만사다. 100% 만족하는 인사는 없겠지만 직원 스스로 수용하는 인사일 경우 개인이나 조직의 발전 , 행정서비스의 질은 분명 높아진다."
.,간부진과 직원과의 소통 강화,"과장님과 일대일 대화할 기회가 잘 없는데 , 좋은 시간이었음",성과 성과가 실제로 정책수혜자에게 어떻게 다가가는지를 수치화 할 수 있는 개인업무 분장을 만들어야 함.,.,"근평시 연공서열이나 연공서열때문에 성과에 따른 근평이 힘들고 교육훈련이나 훈련은 원하는 사람이 가야하는데 의무적으로 가는것도 문제, 행정에서 성과급은 연공서열에 따른 갈라먹기식이라고 보여짐",.
긍정적이거나 부정적인 사항 모두에 대하여 열린마음으로 정책고객을 대할수 있는 마인드 교육훈련,"부서의 막내에게 관리를 맡기지 않았으면 좋겠습니다 
",개개인의 요구와 역량을 서로 소통할 수 있고 요구사항과 앞으로 준비해야 할 것을 보완할 수 있도록 조언할 수 있는 기회,성과면담 자체가 부담스럼움,.,실제 성과와 근평 간의 괴리,전보 경쟁률 혹은 전보 결과 공개 요청
"도민과 소통하는 다양한 방법에 대한 길을 제시하고, 창의적인 의견과 시도가 반영될 수 있는 환경 조성",도민의 참여를 이끌어 내는게 중요함,목표를 정확히 인지함,업무 관리,정책수혜자에게 어떻게 다가가는지를 수치화 할 수 있는 개인업무 분장 개발,업무 외적인 일이 포함되는 근평,"직렬간 안배가 필요함. 똑 같이 도청에서 고생을 하며 근무하는데 기술직렬이라고 승진 소요 기간이 터무니 없이 길다면, 이게 공정·공평 사회인지 묻고 싶고

해소를 지속적으로 요구하였음에도 해소가 되지 않네요."
